@RELATION data

@ATTRIBUTE alexa_has_adult_content {0,1}
@ATTRIBUTE alexa_lang {0,1,2,3,4,5}
@ATTRIBUTE alexa_links_in {0,1,2,3,4,5,6}
@ATTRIBUTE alexa_load_time {0,1,2,3,4,5}
@ATTRIBUTE alexa_rank {0,1,2,3,4,5,6,7}
@ATTRIBUTE alexa_rank_dk {0,1,2,3,4,5}
@ATTRIBUTE cms {0,1,2,3,4,5,6,7,8,9,10,11}
@ATTRIBUTE external_links_count {0,1,2,3}
@ATTRIBUTE facebook_share {0,1}
@ATTRIBUTE has_analytics {0,1}
@ATTRIBUTE has_description {0,1}
@ATTRIBUTE has_keywords {0,1}
@ATTRIBUTE html5 {0,1}
@ATTRIBUTE html5_tags {0,1,2,3}
@ATTRIBUTE img_count {0,1,2,3,4}
@ATTRIBUTE internal_links_count {0,1,2,3}
@ATTRIBUTE page_rank {0,1,2,3,4,5,6,7,8,9,10}
@ATTRIBUTE server {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22}
@ATTRIBUTE title_tag {0,1}
@ATTRIBUTE twitter_share {0,1}
@ATTRIBUTE url string
@ATTRIBUTE xhtml {0,1}

@DATA
0,0,6,?,7,5,6,0,0,1,0,0,1,0,1,3,2,3,1,0,http://www.frh-kajakklub.dk,0
0,0,6,5,7,?,11,2,0,1,1,1,0,0,4,0,0,1,1,0,http://www.eat-buddy.dk,0
0,?,4,4,5,2,11,3,0,1,1,1,0,0,4,3,6,8,1,0,http://www.computerworld.dk,0
0,0,6,?,6,3,6,0,0,1,1,0,1,1,2,1,2,3,1,0,http://www.onlineeffekt.dk,0
0,0,6,?,7,4,11,0,0,0,0,0,0,0,0,0,5,22,0,0,http://www.freestylecruising.dk,0
0,0,6,?,7,5,11,0,0,0,0,0,0,0,0,0,5,22,0,0,http://www.pokerlistings.dk,0
0,0,6,4,6,3,11,0,0,0,0,0,0,0,0,0,0,22,0,0,http://www.traelastogbyggemarked.dk,0
0,?,6,2,7,5,11,1,0,1,1,1,1,1,4,2,3,3,1,0,http://www.newastro.dk,0
0,0,6,?,7,?,11,2,0,0,1,0,0,0,4,3,5,3,1,0,http://www.bigfishgames.dk,0
0,0,6,?,7,?,11,1,0,1,1,1,0,0,2,1,1,3,1,1,http://www.verido.dk,0
0,1,5,5,3,1,11,3,0,1,1,0,0,0,4,3,6,3,1,0,http://www.epn.dk,0
0,0,6,1,7,4,11,0,0,1,1,0,0,0,0,0,3,3,1,0,http://www.urlspion.dk,0
0,1,5,2,7,?,11,2,0,1,1,1,1,1,0,0,6,3,1,0,http://www.kvadrat.dk,0
0,?,6,1,7,4,11,0,0,0,0,0,0,0,0,0,4,22,0,0,http://www.med24.dk,0
0,?,6,1,7,5,11,2,0,1,1,1,0,0,3,0,5,1,1,0,http://www.naturbutikken.dk,0
0,1,6,1,7,4,11,3,0,1,1,1,0,0,4,3,4,3,1,0,http://www.xboxlife.dk,0
0,0,6,3,6,3,11,1,0,0,1,1,0,0,1,3,7,14,1,0,http://www.startvaekst.dk,1
0,?,6,1,7,4,11,3,0,1,1,1,1,0,1,0,5,22,1,0,http://www.statoil.dk,0
0,1,6,?,7,5,11,0,0,0,0,0,0,0,0,0,2,22,0,0,http://www.mbn.dk,0
0,?,6,2,5,3,11,0,0,0,0,0,0,0,0,0,6,22,0,0,http://www.sol.dk,0
0,?,5,2,6,3,11,2,0,1,1,1,0,0,4,0,7,1,1,0,http://www.jobbank.dk,0
0,1,6,2,7,5,5,2,0,0,1,1,0,0,0,0,4,1,1,0,http://www.kab-bolig.dk,0
0,0,6,4,7,?,6,2,1,1,1,1,1,1,3,0,1,0,1,1,http://www.amivox.dk,0
0,0,6,?,7,4,6,1,0,1,1,0,1,1,3,1,1,3,1,0,http://www.seofolk.dk,0
0,0,6,0,7,4,6,0,0,0,1,1,1,0,1,1,5,3,1,0,http://www.bornholmerflyet.dk,0
0,?,6,2,7,4,11,2,0,1,1,1,0,0,2,0,4,1,1,0,http://www.dk-tv.dk,0
0,?,5,1,6,3,11,3,0,1,1,1,0,0,2,0,7,1,1,0,http://www.sa.dk,0
0,?,6,?,7,4,11,3,1,0,1,1,1,0,4,0,5,1,1,0,http://www.ultimate-web.dk,0
0,0,6,?,7,4,11,0,0,0,0,0,0,0,0,0,3,22,0,0,http://www.coolpriser.dk,0
0,0,6,2,7,4,11,2,0,1,1,0,1,2,0,1,5,0,1,0,http://www.firmafon.dk,0
0,0,6,4,7,?,11,0,0,0,0,0,0,0,0,0,1,3,1,0,http://www.dream-zone.dk,0
0,?,6,?,7,?,5,1,0,1,0,0,1,1,4,2,2,1,1,0,http://www.rask-cykler.dk,0
0,?,6,1,7,4,11,0,0,0,0,0,0,0,0,0,3,22,0,0,http://www.husavisen.dk,0
0,?,6,1,7,?,6,0,0,1,1,1,0,0,3,2,3,3,1,0,http://www.getbig.dk,0
0,1,6,0,7,5,11,1,0,1,1,1,0,0,1,0,6,3,1,0,http://www.dat.dk,0
0,0,6,?,7,?,11,2,0,1,1,1,0,0,4,0,2,0,1,0,http://www.accedo.dk,0
0,?,6,5,7,4,11,0,0,0,0,0,0,0,0,0,4,22,1,0,http://www.downloadcentral.dk,0
0,?,6,2,7,4,11,1,0,1,1,0,1,0,0,0,?,1,1,0,http://www.oline.dk,0
0,0,6,?,7,5,11,2,0,1,1,1,0,0,1,1,3,1,1,0,http://www.fotosjov.dk,0
0,0,6,?,7,4,9,2,0,0,0,0,0,0,0,0,3,3,1,0,http://www.kundeunivers.dk,1
0,0,6,5,7,?,11,0,0,0,0,0,0,0,0,0,?,22,0,0,http://www.ecigaret-tilbud.dk,0
0,?,6,1,7,4,11,0,0,0,0,0,0,0,0,0,4,1,1,0,http://www.mercedes-benz.dk,0
0,0,6,3,6,3,11,2,0,0,1,1,0,0,4,3,4,0,1,1,http://www.findeopskrifter.dk,0
0,?,6,?,7,4,11,3,0,0,0,0,1,1,4,0,4,3,1,0,http://www.sdf.dk,0
0,?,6,?,7,4,11,0,0,1,1,1,0,0,2,0,3,1,1,0,http://www.mail-online.dk,0
0,?,6,?,7,5,1,1,0,1,1,0,1,2,2,2,5,1,1,0,http://www.novicell.dk,0
0,1,6,5,7,4,11,3,0,1,1,1,0,0,4,3,5,22,1,0,http://www.hotel.dk,0
0,0,6,?,7,4,6,2,0,1,1,1,1,2,4,3,4,0,1,0,http://www.gastromand.dk,0
0,1,6,0,7,?,11,1,0,0,1,1,0,0,0,0,3,3,1,0,http://www.kreacom.dk,0
0,?,6,?,7,4,11,0,0,0,0,0,0,0,0,0,4,22,0,0,http://www.sparthy.dk,0
0,?,6,2,6,3,11,3,0,1,1,1,0,0,4,3,6,3,1,0,http://www.hk.dk,0
0,?,6,1,7,5,11,2,0,0,1,1,0,0,1,0,4,1,1,0,http://www.mercell.dk,0
0,0,6,1,6,3,11,3,0,1,1,1,0,0,4,0,2,3,1,0,http://www.delupe.dk,0
0,?,4,2,5,3,11,1,0,1,1,1,0,0,1,0,5,3,1,1,http://www.surftown.dk,0
0,?,6,3,7,4,11,0,0,1,1,1,0,0,4,3,6,3,1,0,http://www.komputer.dk,0
0,?,6,0,7,4,11,0,0,0,0,0,0,0,0,0,4,22,0,0,http://www.metro.dk,0
0,0,6,?,7,4,7,3,0,0,1,1,0,0,4,0,5,3,1,0,http://www.matchoffice.dk,0
0,1,6,4,7,?,11,1,0,1,0,0,0,0,4,1,5,3,1,0,http://www.seriousgames.dk,0
0,1,6,3,6,3,11,2,0,0,1,1,0,0,4,3,6,3,1,0,http://www.ebay.dk,0
0,0,4,5,5,?,6,2,0,1,1,1,0,0,2,3,6,3,1,0,http://www.w3blog.dk,0
0,0,6,1,7,5,11,0,0,0,0,0,0,0,0,0,?,22,0,0,http://www.muzzic.dk,0
