@RELATION data

@ATTRIBUTE alexa_has_adult_content string
@ATTRIBUTE alexa_lang string
@ATTRIBUTE alexa_links_in string
@ATTRIBUTE alexa_load_time string
@ATTRIBUTE alexa_rank string
@ATTRIBUTE alexa_rank_dk string
@ATTRIBUTE cms string
@ATTRIBUTE external_links_count string
@ATTRIBUTE facebook_share string
@ATTRIBUTE has_analytics string
@ATTRIBUTE has_description string
@ATTRIBUTE has_keywords string
@ATTRIBUTE html5 string
@ATTRIBUTE html5_tags string
@ATTRIBUTE img_count string
@ATTRIBUTE internal_links_count string
@ATTRIBUTE page_rank string
@ATTRIBUTE server string
@ATTRIBUTE title_tag string
@ATTRIBUTE twitter_share string
@ATTRIBUTE url string
@ATTRIBUTE xhtml string

@DATA
0,?,17,?,676883,5323,WORDPRESS,4,0,1,0,0,1,0,9,78,2,APACHE,1,0,http://www.frh-kajakklub.dk,0
0,?,335,5890,582719,?,UNKNOWN,43,0,1,1,1,0,0,30,0,0,MICROSOFT-IIS/7.0,1,0,http://www.eat-buddy.dk,0
0,da-DK,1004,2033,60635,231,UNKNOWN,221,0,1,1,1,0,0,102,70,6,'CONCEALED BY JUNIPER NETWORKS DX R.NO',1,0,http://www.computerworld.dk,0
0,?,95,?,202728,673,WORDPRESS,1,0,1,1,0,1,7,11,26,2,APACHE,1,0,http://www.onlineeffekt.dk,0
0,?,8,?,827086,3940,UNKNOWN,0,0,0,0,0,0,0,0,0,5,?,0,0,http://www.freestylecruising.dk,0
0,?,170,?,789067,6512,UNKNOWN,0,0,0,0,0,0,0,0,0,5,?,0,0,http://www.pokerlistings.dk,0
0,?,59,2497,170515,696,UNKNOWN,0,0,0,0,0,0,0,0,0,0,?,0,0,http://www.traelastogbyggemarked.dk,0
0,da-DK,107,1198,1222639,5883,UNKNOWN,13,0,1,1,1,1,2,31,43,3,APACHE,1,0,http://www.newastro.dk,0
0,?,56,?,427017,?,UNKNOWN,59,0,0,1,0,0,0,34,101,5,APACHE,1,0,http://www.bigfishgames.dk,0
0,?,11,?,1032784,?,UNKNOWN,29,0,1,1,1,0,0,11,18,1,'APACHE/2.2.22 (UNIX) PHP/5.3.23',1,1,http://www.verido.dk,0
0,en,862,4757,12993,35,UNKNOWN,316,0,1,1,0,0,0,137,205,6,APACHE-COYOTE/1.1,1,0,http://www.epn.dk,0
0,?,37,874,308017,1821,UNKNOWN,8,0,1,1,0,0,0,1,0,3,'APACHE/2.2.17 (UNIX) MOD_SSL/2.2.17 OPENSSL/0.9.8M DAV/2 MOD_AUTH_PASSTHROUGH/2.1 MOD_BWLIMITED/1.4 FRONTPAGE/5.0.2.2635',1,0,http://www.urlspion.dk,0
0,en,778,1214,483631,?,UNKNOWN,34,0,1,1,1,1,3,0,1,6,APACHE,1,0,http://www.kvadrat.dk,0
0,da-DK,223,510,441452,2785,UNKNOWN,0,0,0,0,0,0,0,0,0,4,?,0,0,http://www.med24.dk,0
0,da-DK,48,539,1402328,6124,UNKNOWN,42,0,1,1,1,0,0,19,3,5,MICROSOFT-IIS/6.0,1,0,http://www.naturbutikken.dk,0
0,en,114,538,368510,3323,UNKNOWN,109,0,1,1,1,0,0,33,129,4,APACHE,1,0,http://www.xboxlife.dk,0
0,?,489,1833,122825,567,UNKNOWN,18,0,0,1,1,0,0,6,87,7,'ORACLE-APPLICATION-SERVER-10G/10.1.2.2.0 ORACLE-HTTP-SERVER ORACLEAS-WEB-CACHE-10G/10.1.2.3.0 (N;ECID=163289581171,2) ORACLEAS-WEB-CACHE-10G/10.1.2.3.0 (N;ECID=163289581171,0)',1,0,http://www.startvaekst.dk,1
0,da-DK,150,528,1150255,4492,UNKNOWN,90,0,1,1,1,1,0,9,5,5,?,1,0,http://www.statoil.dk,0
0,en,34,?,1139886,5087,UNKNOWN,0,0,0,0,0,0,0,0,0,2,?,0,0,http://www.mbn.dk,0
0,da-DK,442,1400,91522,302,UNKNOWN,0,0,0,0,0,0,0,0,0,6,?,0,0,http://www.sol.dk,0
0,da-DK,650,1297,147796,655,UNKNOWN,53,0,1,1,1,0,0,25,3,7,MICROSOFT-IIS/8.0,1,0,http://www.jobbank.dk,0
0,en,107,1108,563070,5174,DYNAMICWEB,33,0,0,1,1,0,0,3,0,4,MICROSOFT-IIS/7.5,1,0,http://www.kab-bolig.dk,0
0,?,13,2036,899621,?,WORDPRESS,50,1,1,1,1,1,4,15,0,1,CLOUDFLARE-NGINX,1,1,http://www.amivox.dk,0
0,?,152,?,649413,4432,WORDPRESS,17,0,1,1,0,1,6,17,21,1,APACHE,1,0,http://www.seofolk.dk,0
0,?,33,460,446389,2266,WORDPRESS,8,0,0,1,1,1,0,9,19,5,'APACHE/2.2.14 (UBUNTU)',1,0,http://www.bornholmerflyet.dk,0
0,da-DK,95,1018,524804,3063,UNKNOWN,40,0,1,1,1,0,0,12,0,4,MICROSOFT-IIS/7.5,1,0,http://www.dk-tv.dk,0
0,da-DK,604,576,174489,895,UNKNOWN,64,0,1,1,1,0,0,11,0,7,MICROSOFT-IIS/6.0,1,0,http://www.sa.dk,0
0,da-DK,310,?,748563,3742,UNKNOWN,85,1,0,1,1,1,0,28,8,5,MICROSOFT-IIS/6.0,1,0,http://www.ultimate-web.dk,0
0,?,187,?,486587,1878,UNKNOWN,0,0,0,0,0,0,0,0,0,3,?,0,0,http://www.coolpriser.dk,0
0,?,56,1048,370906,3233,UNKNOWN,30,0,1,1,0,1,11,1,10,5,NGINX,1,0,http://www.firmafon.dk,0
0,?,53,2100,723124,?,UNKNOWN,1,0,0,0,0,0,0,2,2,1,'APACHE/2.2.22 (UNIX) PHP/5.3.23',1,0,http://www.dream-zone.dk,0
0,da-DK,16,?,1800613,?,DYNAMICWEB,24,0,1,0,0,1,3,34,54,2,MICROSOFT-IIS/7.5,1,0,http://www.rask-cykler.dk,0
0,da-DK,56,782,470909,1393,UNKNOWN,0,0,0,0,0,0,0,0,0,3,?,0,0,http://www.husavisen.dk,0
0,da-DK,107,884,327718,?,WORDPRESS,6,0,1,1,1,0,0,15,50,3,'APACHE/2.2.9 (DEBIAN) DAV/2 SVN/1.5.1 MOD_RUBY/1.2.6 RUBY/1.8.7(2008-08-11) MOD_SSL/2.2.9 OPENSSL/0.9.8G',1,0,http://www.getbig.dk,0
0,en,290,428,747183,8840,UNKNOWN,23,0,1,1,1,0,0,5,0,6,'APACHE/2.2.3 (DEBIAN) PHP/5.2.6-0.DOTDEB.1 WITH SUHOSIN-PATCH MOD_SSL/2.2.3 OPENSSL/0.9.8C',1,0,http://www.dat.dk,0
0,?,37,?,963220,?,UNKNOWN,59,0,1,1,1,0,0,25,2,2,NGINX,1,0,http://www.accedo.dk,0
0,da-DK,144,2557,761701,3993,UNKNOWN,0,0,0,0,0,0,0,0,0,4,?,1,0,http://www.downloadcentral.dk,0
0,da-DK,124,1021,363769,2007,UNKNOWN,24,0,1,1,0,1,0,1,1,?,MICROSOFT-IIS/7.5,1,0,http://www.oline.dk,0
0,?,27,?,1197896,7174,UNKNOWN,30,0,1,1,1,0,0,6,11,3,MICROSOFT-IIS/6.0,1,0,http://www.fotosjov.dk,0
0,?,8,?,777181,3504,DRUPAL,30,0,0,0,0,0,0,4,0,3,APACHE/2.2,1,0,http://www.kundeunivers.dk,1
0,?,10,3282,1013743,?,UNKNOWN,0,0,0,0,0,0,0,0,0,?,?,0,0,http://www.ecigaret-tilbud.dk,0
0,da-DK,104,893,261460,1693,UNKNOWN,0,0,0,0,0,0,0,0,1,4,MICROSOFT-IIS/6.0,1,0,http://www.mercedes-benz.dk,0
0,?,224,1988,157258,548,UNKNOWN,59,0,0,1,1,0,0,20,111,4,NGINX/1.2.7,1,1,http://www.findeopskrifter.dk,0
0,da-DK,66,?,895877,1447,UNKNOWN,159,0,0,0,0,1,2,55,4,4,'APACHE/2.2.15 (CENTOS)',1,0,http://www.sdf.dk,0
0,da-DK,27,?,826669,1465,UNKNOWN,7,0,1,1,1,0,0,12,4,3,MICROSOFT-IIS/7.0,1,0,http://www.mail-online.dk,0
0,da-DK,147,?,885517,6280,UMBRACO,12,0,1,1,0,1,34,12,30,5,MICROSOFT-IIS/7.5,1,0,http://www.novicell.dk,0
0,en,70,5278,398997,2358,UNKNOWN,117,0,1,1,1,0,0,210,108,5,?,1,0,http://www.hotel.dk,0
0,?,151,?,430215,1644,WORDPRESS,34,0,1,1,1,1,45,27,174,4,CLOUDFLARE-NGINX,1,0,http://www.gastromand.dk,0
0,en,129,483,515375,?,UNKNOWN,11,0,0,1,1,0,0,2,0,3,APACHE,1,0,http://www.kreacom.dk,0
0,da-DK,22,?,1418344,2941,UNKNOWN,0,0,0,0,0,0,0,0,0,4,?,0,0,http://www.sparthy.dk,0
0,da-DK,362,1104,200164,758,UNKNOWN,144,0,1,1,1,0,0,23,124,6,'APACHE/2.2.3 (RED HAT)',1,0,http://www.hk.dk,0
0,da-DK,42,942,448910,6023,UNKNOWN,31,0,0,1,1,0,0,9,0,4,MICROSOFT-IIS/8.0,1,0,http://www.mercell.dk,0
0,?,41,764,178450,445,UNKNOWN,234,0,1,1,1,0,0,32,1,2,'APACHE/2.2.22 (UBUNTU)',1,0,http://www.delupe.dk,0
0,da-DK,1829,1345,60148,299,UNKNOWN,29,0,1,1,1,0,0,9,8,5,APACHE,1,1,http://www.surftown.dk,0
0,da-DK,133,1722,583378,2535,UNKNOWN,9,0,1,1,1,0,0,37,124,6,'APACHE/2.2.14 (UBUNTU)',1,0,http://www.komputer.dk,0
0,da-DK,89,431,558312,2324,UNKNOWN,0,0,0,0,0,0,0,0,0,4,?,0,0,http://www.metro.dk,0
0,?,11,?,583168,3247,TYPO3,76,0,0,1,1,0,0,76,0,5,'APACHE/2.2.16 (DEBIAN)',1,0,http://www.matchoffice.dk,0
0,en,209,2371,274036,?,UNKNOWN,21,0,1,0,0,0,0,23,17,5,'APACHE/2.2.9 (DEBIAN) PHP/5.3.3-7+SQUEEZE7 WITH SUHOSIN-PATCH MOD_SSL/2.2.9 OPENSSL/0.9.8O',1,0,http://www.seriousgames.dk,0
0,en,193,1706,108662,516,UNKNOWN,57,0,0,1,1,0,0,22,137,6,APACHE-COYOTE/1.1,1,0,http://www.ebay.dk,0
0,?,1310,5760,83277,?,WORDPRESS,31,0,1,1,1,0,0,14,112,6,'APACHE/2.2.22 (UNIX) PHP/5.3.23',1,0,http://www.w3blog.dk,0
0,?,9,757,493217,5224,UNKNOWN,0,0,0,0,0,0,0,0,0,?,?,0,0,http://www.muzzic.dk,0
0,da-DK,260,1847,41459,163,UNKNOWN,269,0,1,1,1,0,0,189,11,5,?,1,0,http://www.euroinvestor.dk,0
0,da,31,?,633787,3912,UNKNOWN,48,0,1,0,1,0,0,7,0,4,MICROSOFT-IIS/7.5,1,0,http://www.weightlifting.dk,1
0,da-DK,64,766,644979,?,UNKNOWN,94,0,1,0,1,0,0,17,1,3,'APACHE/2.2.22 (UBUNTU)',1,0,http://www.jupitercykler.dk,0
0,?,98,1636,233540,924,UNKNOWN,402,0,1,1,0,0,0,233,56,3,APACHE,1,0,http://www.cykelpartner.dk,0
0,no-NO,666,4056,154962,646,UNKNOWN,20,0,1,1,1,0,0,100,296,6,'APACHE/2.2.14 (UBUNTU)',1,0,http://www.iform.dk,0
0,da-DK,176,828,404485,1106,UNKNOWN,18,0,1,0,0,0,0,9,6,5,?,1,0,http://www.mols-linien.dk,0
0,?,13,?,688545,4292,UNKNOWN,23,0,0,1,1,0,0,11,0,2,MICROSOFT-IIS/7.0,1,0,http://www.valkyrien-koege.dk,0
0,da-DK,47,1140,753246,4341,UNKNOWN,81,1,0,0,1,0,0,109,0,3,APACHE,1,0,http://www.pc-lager.dk,0
0,en,50,307,408421,4564,UNKNOWN,0,0,0,0,0,0,0,0,0,2,?,0,0,http://www.parameter.dk,0
0,?,206,?,779025,?,UNKNOWN,0,0,0,0,0,0,0,0,0,0,?,1,0,http://www.nikefreerun-store.dk,0
0,?,12,?,1683962,?,UNKNOWN,16,0,1,1,0,1,2,0,0,?,AMAZONS3,1,0,http://www.alfre.dk,0
0,?,60,?,294991,1087,UNKNOWN,11,0,1,1,1,1,0,7,0,3,MICROSOFT-IIS/7.0,1,0,http://www.valutaomregneren.dk,0
0,en,269,2469,560675,2764,UNKNOWN,0,0,0,0,0,0,0,0,0,7,MICROSOFT-IIS/6.0,1,0,http://www.statistikbanken.dk,0
0,da-DK,35,1292,2086986,?,UNKNOWN,70,0,0,1,1,1,10,27,4,1,APACHE,1,0,http://www.scanheat.dk,0
