@RELATION data

@ATTRIBUTE alexa_has_adult_content {0,1}
@ATTRIBUTE alexa_lang {0,1,2,3,4,5}
@ATTRIBUTE alexa_links_in {0,1,2,3,4,5,6}
@ATTRIBUTE alexa_load_time {0,1,2,3,4,5}
@ATTRIBUTE alexa_rank {0,1,2,3,4,5,6,7}
@ATTRIBUTE alexa_rank_dk {0,1,2,3,4,5}
@ATTRIBUTE cms {0,1,2,3,4,5,6,7,8,9,10,11}
@ATTRIBUTE external_links_count {0,1,2,3}
@ATTRIBUTE facebook_share {0,1}
@ATTRIBUTE has_analytics {0,1}
@ATTRIBUTE has_content_business {0,1}
@ATTRIBUTE has_content_film {0,1}
@ATTRIBUTE has_content_food {0,1}
@ATTRIBUTE has_content_games {0,1}
@ATTRIBUTE has_content_health {0,1}
@ATTRIBUTE has_content_music {0,1}
@ATTRIBUTE has_content_news {0,1}
@ATTRIBUTE has_content_shop {0,1}
@ATTRIBUTE has_content_sport {0,1}
@ATTRIBUTE has_content_technology {0,1}
@ATTRIBUTE has_content_transport {0,1}
@ATTRIBUTE has_content_xxx {0,1}
@ATTRIBUTE has_description {0,1}
@ATTRIBUTE has_js_angular {0,1}
@ATTRIBUTE has_js_backbone {0,1}
@ATTRIBUTE has_js_dojo {0,1}
@ATTRIBUTE has_js_ember {0,1}
@ATTRIBUTE has_js_handlebars {0,1}
@ATTRIBUTE has_js_jquery {0,1}
@ATTRIBUTE has_js_knockout {0,1}
@ATTRIBUTE has_js_modernizr {0,1}
@ATTRIBUTE has_js_mootools {0,1}
@ATTRIBUTE has_js_prototype {0,1}
@ATTRIBUTE has_js_underscore {0,1}
@ATTRIBUTE has_keywords {0,1}
@ATTRIBUTE html5 {0,1}
@ATTRIBUTE html5_tags {0,1,2,3}
@ATTRIBUTE img_count {0,1,2,3,4}
@ATTRIBUTE internal_links_count {0,1,2,3}
@ATTRIBUTE page_rank {0,1,2,3,4,5,6,7,8,9,10}
@ATTRIBUTE server {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22}
@ATTRIBUTE title_tag {0,1}
@ATTRIBUTE twitter_share {0,1}
@ATTRIBUTE url string
@ATTRIBUTE xhtml {0,1}

@DATA
0,?,6,5,7,?,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,3,1,0,http://www.hkhkronprinsen.dk,0
0,?,6,2,7,?,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,0,0,http://www.gamebits.dk,0
0,1,6,?,7,5,11,3,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,3,0,1,0,http://www.loftet.dk,0
0,0,6,?,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,22,0,0,http://www.kjeld-klit.dk,0
0,0,6,?,7,4,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,http://www.pekkart.dk,0
0,0,6,?,7,4,11,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,1,0,http://www.fusionsport.dk,0
0,0,6,4,7,4,6,1,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,4,3,5,6,1,0,http://www.fashionforum.dk,0
0,0,6,?,7,4,6,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,4,3,1,3,1,0,http://www.dotdotlab.dk,0
0,1,1,2,7,?,11,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,?,3,1,0,http://www.cmsimple.dk,0
0,?,6,?,7,4,11,3,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,0,4,1,1,0,http://www.aleris.dk,0
0,?,6,5,7,4,11,3,0,0,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,4,1,1,0,http://www.lastbilmagasinet.dk,0
