has_content_business;;;;has_content_film;;;;has_content_food;;;;has_content_games;;;;has_content_health;;;;has_content_music;;;;has_content_news;;;;has_content_shop;;;;has_content_sport;;;;has_content_technology;;;;has_content_transport;;;;has_content_xxx;;;;id;;;;page_rank;;;;
sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;sum;mean;mode;stddev;
215;0.408745247148;0.0;0.491602044424;327;0.621673003802;1.0;0.484969772404;190;0.361216730038;0.0;0.480353207524;183;0.347908745247;0.0;0.476306886605;259;0.492395437262;0.0;0.499942167281;231;0.439163498099;0.0;0.496285119701;526;1.0;1.0;0.0;343;0.652091254753;1.0;0.476306886605;238;0.45247148289;0.0;0.497735913976;203;0.385931558935;0.0;0.486814534246;421;0.800380228137;1.0;0.399714546326;76;0.144486692015;0.0;0.351582547698;648233.0;1232.38212928;7.0;700.370825449;261.847180043;0.497808327079;0.625;0.214209996948;
0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;265;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;313540.0;1183.16981132;1.0;684.611850802;105.511496746;0.398156591495;0.5;0.24925314221;
15;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;15;1.0;1.0;0.0;0;0.0;0.0;0.0;15;1.0;1.0;0.0;15;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;15;1.0;1.0;0.0;0;0.0;0.0;0.0;16160.0;1077.33333333;18.0;658.769222785;7.875;0.525;0.5;0.215058131676;
5;1.0;1.0;0.0;5;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;5;1.0;1.0;0.0;5;1.0;1.0;0.0;5;1.0;1.0;0.0;0;0.0;0.0;0.0;5;1.0;1.0;0.0;0;0.0;0.0;0.0;3249.0;649.8;22.0;771.685272634;2.875;0.575;0.125;0.257390753525;
0;0.0;0.0;0.0;36;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;36;1.0;1.0;0.0;36;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;36;1.0;1.0;0.0;0;0.0;0.0;0.0;47500.0;1319.44444444;25.0;575.679233816;18.7164316703;0.51990087973;0.5;0.180613861614;
0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;9;1.0;1.0;0.0;0;0.0;0.0;0.0;9;1.0;1.0;0.0;0;0.0;0.0;0.0;9;1.0;1.0;0.0;0;0.0;0.0;0.0;10175.0;1130.55555556;30.0;674.462767461;4.625;0.513888888889;0.625;0.253067599421;
0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;74;1.0;1.0;0.0;74;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;94525.0;1277.36486486;31.0;691.519450672;31.7314533623;0.428803423814;0.5;0.208846969062;
10;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;10;1.0;1.0;0.0;10;1.0;1.0;0.0;10;1.0;1.0;0.0;0;0.0;0.0;0.0;10;1.0;1.0;0.0;0;0.0;0.0;0.0;14566.0;1456.6;33.0;688.358801789;5.0;0.5;0.25;0.176776695297;
40;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;40;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;48936.0;1223.4;35.0;662.934642329;18.4235900217;0.460589750542;0.375;0.231719619695;
6;1.0;1.0;0.0;6;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;6;1.0;1.0;0.0;0;0.0;0.0;0.0;6;1.0;1.0;0.0;6;1.0;1.0;0.0;6;1.0;1.0;0.0;6;1.0;1.0;0.0;6;1.0;1.0;0.0;0;0.0;0.0;0.0;5730.0;955.0;36.0;634.544981332;3.875;0.645833333333;0.625;0.085898033867;
17;1.0;1.0;0.0;17;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;17;1.0;1.0;0.0;0;0.0;0.0;0.0;17;1.0;1.0;0.0;17;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;17;1.0;1.0;0.0;0;0.0;0.0;0.0;15783.0;928.411764706;40.0;739.977985271;9.75;0.573529411765;0.5;0.227109488404;
23;1.0;1.0;0.0;23;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;23;1.0;1.0;0.0;23;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;23;1.0;1.0;0.0;0;0.0;0.0;0.0;27780.0;1207.82608696;44.0;728.025480453;12.0578633406;0.524254927851;0.625;0.215371037822;
0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;579287.0;1214.43815514;2.0;697.463099007;199.638720174;0.418529811685;0.375;0.177408860984;
9;1.0;1.0;0.0;9;1.0;1.0;0.0;0;0.0;0.0;0.0;9;1.0;1.0;0.0;9;1.0;1.0;0.0;9;1.0;1.0;0.0;9;1.0;1.0;0.0;9;1.0;1.0;0.0;9;1.0;1.0;0.0;9;1.0;1.0;0.0;9;1.0;1.0;0.0;0;0.0;0.0;0.0;8916.0;990.666666667;45.0;739.626031631;5.375;0.597222222222;0.625;0.114530711823;
0;0.0;0.0;0.0;9;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;9;1.0;1.0;0.0;9;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;9797.0;1088.55555556;47.0;761.793659889;4.875;0.541666666667;0.5;0.131761569174;
7;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;7;1.0;1.0;0.0;7;1.0;1.0;0.0;7;1.0;1.0;0.0;7;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;7;1.0;1.0;0.0;0;0.0;0.0;0.0;8289.0;1184.14285714;63.0;772.102404121;3.625;0.517857142857;0.375;0.140607283464;
0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;12;1.0;1.0;0.0;12;1.0;1.0;0.0;12;1.0;1.0;0.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;12;1.0;1.0;0.0;0;0.0;0.0;0.0;17667.0;1472.25;67.0;678.993510646;7.125;0.59375;0.5;0.154152589447;
