@relation data-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_set_10_of_10

@attribute alexa_has_adult_content {0,1}
@attribute alexa_lang {0,1,2,3,4,5}
@attribute alexa_links_in numeric
@attribute alexa_load_time numeric
@attribute alexa_rank numeric
@attribute alexa_rank_dk numeric
@attribute cms {0,1,2,3,4,5,6,7,8,9,10,11}
@attribute external_links_count numeric
@attribute facebook_share {0,1}
@attribute has_analytics {0,1}
@attribute has_content_business {0,1}
@attribute has_content_film {0,1}
@attribute has_content_food {0,1}
@attribute has_content_games {0,1}
@attribute has_content_health {0,1}
@attribute has_content_music {0,1}
@attribute has_content_news {0,1}
@attribute has_content_shop {0,1}
@attribute has_content_sport {0,1}
@attribute has_content_technology {0,1}
@attribute has_content_transport {0,1}
@attribute has_content_xxx {0,1}
@attribute has_description {0,1}
@attribute has_js_angular {0,1}
@attribute has_js_backbone {0,1}
@attribute has_js_dojo {0,1}
@attribute has_js_ember {0,1}
@attribute has_js_handlebars {0,1}
@attribute has_js_jquery {0,1}
@attribute has_js_knockout {0,1}
@attribute has_js_modernizr {0,1}
@attribute has_js_mootools {0,1}
@attribute has_js_prototype {0,1}
@attribute has_js_underscore {0,1}
@attribute has_keywords {0,1}
@attribute html5 {0,1}
@attribute html5_tags numeric
@attribute img_count numeric
@attribute internal_links_count numeric
@attribute page_rank numeric
@attribute server {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22}
@attribute title_tag {0,1}
@attribute twitter_share {0,1}
@attribute xhtml {0,1}
@attribute 'class_predicted_by: IBk' numeric

@data
0,?,0.007663,0.036257,0.335822,0.275403,11,0.045121,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.039024,0.006883,0.375,1,1,0,0,0.525
0,?,0.01282,0.146558,0.201794,0.598072,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,22,0,0,0,0.425
0,0,0.000072,?,0.754665,0.302193,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,22,0,0,0,0.25
0,0,0.004011,0.031464,0.279296,0.553963,11,0.050367,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.04878,0.013766,0.5,1,1,0,0,0.45
0,1,0.019623,0.112596,0.09211,?,11,0.179433,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.001626,0.007866,0.625,3,1,0,0,0.575
0,0,0.331447,0.308057,0.049421,?,11,0.071354,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.047112,0.04878,0,0.5,3,1,0,0,0.275
0,?,0.002077,0.037838,0.11454,0.249979,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,22,0,0,0,0.4
0,?,0.053928,0.147221,0.095693,0.261667,11,0.189927,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.061789,0.006883,0.75,0,0,0,0,0.675
0,0,0.005013,0.135492,0.17672,?,11,0.01574,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027642,0.000983,1,3,1,0,0,0.325
0,0,0.003223,0.021724,0.10914,0.10622,11,0.083945,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.079675,0,0.125,3,1,0,0,0.275
0,0,0,?,0.71011,0.27873,6,0.004197,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.011382,0.007866,?,3,1,0,0,0.225
0,0,0.004154,0.06716,0.305204,0.361659,6,0.026233,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0.091057,0.19174,0.375,3,1,0,0,0.375
0,?,0.023419,0.07282,0.022306,0.008532,11,0.024134,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.034146,0.035398,0.75,1,1,0,0,0.575
0,0,0.002721,0.029373,0.148335,0.151608,9,0.020986,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.014634,0,0.625,3,1,0,0,0.15
0,0,0.000358,0.076849,0.232904,0.190769,6,0.005247,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0.006079,0.011382,0.00885,?,3,1,0,0,0.25
0,0,0.009239,?,0.164161,0.319939,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,22,0,0,0,0.3
0,?,0.005729,?,0.389788,0.255098,11,0.078699,1,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.082927,0,0.5,1,0,0,0,0.55
0,1,0.004942,0.133452,0.110909,0.091119,11,0.176285,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0.130699,0.04878,0,0.5,0,1,0,0,0.475
0,0,0.003796,0.022743,0.274296,0.377528,3,0.0766,0,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0.03252,0.003933,0.25,1,1,0,0,0.55
0,0,0.003724,?,0.208731,0.251856,11,0.052466,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.017886,0,0.5,1,1,0,0,0.425
0,1,0.005944,?,0.429483,0.342206,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,22,0,0,0,0.4
0,?,0.003438,0.041458,0.166501,0.483832,11,0.059811,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.006504,0.000983,0.375,1,1,0,0,0.575
0,1,0.020698,0.019429,0.314728,0.754117,11,0.024134,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.00813,0,0.75,3,1,0,0,0.45
1,?,0.01991,0.088016,0.127764,0.180104,6,0.010493,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0.087805,0.13176,0.375,3,1,0,0,0.425
0,?,0.012462,0.023661,0.116326,0.070216,11,0.019937,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.013008,0.085546,0.5,3,1,0,1,0.625
0,0,0.000286,?,0.775715,0.46967,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.225
0,0,0.002292,?,0.480757,0.473594,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,22,0,0,0,0.275
0,?,0.024493,0.139878,0.052136,0.036942,11,0.039874,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094309,0.096362,0.75,1,1,0,0,0.7
0,0,0.002292,0.138552,0.090304,0.118676,11,0.004197,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037398,0.113078,0.125,2,1,0,0,0.4
0,?,0.0053,0.229475,0.291407,0.676478,6,0.003148,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.004878,0.110128,0.75,3,1,0,0,0.475
0,0,0.005443,?,0.213216,0.195546,11,0.117524,0,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0.00304,0.039024,0.00295,0.625,1,1,0,0,0.625
0,?,0.031583,0.068995,0.038381,0.02568,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,22,0,0,0,0.525
0,0,0.00043,0.032228,0.722876,?,11,0.017838,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.009756,0,0,1,1,0,0,0.35
0,?,0.005156,0.023661,0.361587,0.61505,11,0.159496,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.034146,0.001967,0.5,22,1,0,0,0.5
0,0,0.003867,?,0.436496,0.481614,11,0.001049,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034146,0.325467,0.375,0,1,0,0,0.475
0,0,0.001074,0.040235,0.252525,0.078918,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,6,0,0,0,0.4
1,?,0.006589,?,0.418219,0.573074,11,0.036726,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.015198,0.029268,0.001967,0.375,3,1,0,0,0.375
0,?,0.00487,0.103774,0.334343,0.568382,11,0.185729,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0.00152,0.03252,0.000983,0.5,3,1,0,0,0.375
0,?,0.006231,0.08562,0.276988,0.334954,11,0.06191,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017886,0.000983,0.625,3,1,0,0,0.65
0,?,0.014395,0.059001,0.071039,0.15084,11,0.347324,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0.00304,0.052033,0.000983,0.5,1,1,0,0,0.5
0,0,0.002149,?,0.229634,0.249467,6,0.002099,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004878,0.016716,0.25,3,1,0,0,0.3
0,?,0.004584,0.068434,0.074289,0.117481,7,0.074502,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.022764,0.00295,0.375,3,1,0,0,0.525
0,0,0.005944,?,0.067431,0.060831,6,0.010493,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.026016,0.112094,0.375,3,1,0,0,0.375
0,?,0.004154,0.056808,0.377689,?,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,22,0,0,0,0.5
1,?,0.075628,0.092045,0.285341,0.419418,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,22,0,0,0,0.475
0,0,0.000072,0.034013,0.443575,0.25305,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0.4
0,4,0.01282,0.035492,0.265291,0.571538,11,0.036726,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.045528,0.063913,0.625,3,1,0,0,0.325
0,0,0.00043,0.023355,0.320776,0.385718,11,0.005247,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006504,0,0.625,3,1,0,0,0.3
0,?,0.019838,0.073432,0.051748,0.047266,11,0.119622,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.130081,0,0.625,3,1,0,0,0.65
0,?,0.057438,0.10051,0.101242,0.057077,11,0.098636,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.022764,0.006883,0.75,1,1,0,0,0.65
0,1,0.00795,0.080826,0.282111,0.351335,11,0.306401,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.136585,0.00295,0.75,1,1,0,0,0.575
0,0,0.004584,0.082254,0.271245,0.648153,11,0.120672,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.20813,0,0.625,1,1,0,0,0.45
0,?,0.004225,0.023916,0.451814,?,11,0.084995,0,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.052033,0.004916,0.375,1,1,0,0,0.525
